,date,5. adjusted close,symbol
16922,2001-11-25,0.3007,AAPL
16923,2001-12-02,0.3228,AAPL
16924,2001-12-09,0.3416,AAPL
16925,2001-12-16,0.309,AAPL
16926,2001-12-23,0.3183,AAPL
16927,2001-12-30,0.3399,AAPL
16928,2002-01-06,0.359,AAPL
16929,2002-01-13,0.319,AAPL
16930,2002-01-20,0.336,AAPL
16931,2002-01-27,0.3524,AAPL
16932,2002-02-03,0.3699,AAPL
16933,2002-02-10,0.3642,AAPL
16934,2002-02-17,0.3622,AAPL
16935,2002-02-24,0.3446,AAPL
16936,2002-03-03,0.3554,AAPL
16937,2002-03-10,0.3737,AAPL
16938,2002-03-17,0.3781,AAPL
16939,2002-03-24,0.3651,AAPL
16940,2002-03-31,0.3587,AAPL
16941,2002-04-07,0.3749,AAPL
16942,2002-04-14,0.3798,AAPL
16943,2002-04-21,0.3786,AAPL
16944,2002-04-28,0.3487,AAPL
16945,2002-05-05,0.3563,AAPL
16946,2002-05-12,0.3534,AAPL
16947,2002-05-19,0.379,AAPL
16948,2002-05-26,0.366,AAPL
16949,2002-06-02,0.3531,AAPL
16950,2002-06-09,0.3243,AAPL
16951,2002-06-16,0.3046,AAPL
16952,2002-06-23,0.2554,AAPL
16953,2002-06-30,0.2685,AAPL
16954,2002-07-07,0.284,AAPL
16955,2002-07-14,0.2652,AAPL
16956,2002-07-21,0.2267,AAPL
16957,2002-07-28,0.2173,AAPL
16958,2002-08-04,0.219,AAPL
16959,2002-08-11,0.2273,AAPL
16960,2002-08-18,0.2396,AAPL
16961,2002-08-25,0.2384,AAPL
16962,2002-09-01,0.2235,AAPL
16963,2002-09-08,0.2179,AAPL
16964,2002-09-15,0.2147,AAPL
16965,2002-09-22,0.2254,AAPL
16966,2002-09-29,0.2231,AAPL
16967,2002-10-06,0.2126,AAPL
16968,2002-10-13,0.2199,AAPL
16969,2002-10-20,0.2173,AAPL
16970,2002-10-27,0.2337,AAPL
16971,2002-11-03,0.2479,AAPL
16972,2002-11-10,0.2401,AAPL
16973,2002-11-17,0.2417,AAPL
16974,2002-11-24,0.2426,AAPL
16975,2002-12-01,0.2349,AAPL
16976,2002-12-08,0.2266,AAPL
16977,2002-12-15,0.2241,AAPL
16978,2002-12-22,0.2143,AAPL
16979,2002-12-29,0.2131,AAPL
16980,2003-01-05,0.2258,AAPL
16981,2003-01-12,0.2231,AAPL
16982,2003-01-19,0.2137,AAPL
16983,2003-01-26,0.2091,AAPL
16984,2003-02-02,0.2176,AAPL
16985,2003-02-09,0.2144,AAPL
16986,2003-02-16,0.2223,AAPL
16987,2003-02-23,0.2273,AAPL
16988,2003-03-02,0.2275,AAPL
16989,2003-03-09,0.2202,AAPL
16990,2003-03-16,0.224,AAPL
16991,2003-03-23,0.2273,AAPL
16992,2003-03-30,0.2208,AAPL
16993,2003-04-06,0.2184,AAPL
16994,2003-04-13,0.2,AAPL
16995,2003-04-20,0.1988,AAPL
16996,2003-04-27,0.2023,AAPL
16997,2003-05-04,0.219,AAPL
16998,2003-05-11,0.2773,AAPL
16999,2003-05-18,0.2849,AAPL
17000,2003-05-25,0.2776,AAPL
17001,2003-06-01,0.272,AAPL
17002,2003-06-08,0.2599,AAPL
17003,2003-06-15,0.264,AAPL
17004,2003-06-22,0.291,AAPL
17005,2003-06-29,0.2839,AAPL
17006,2003-07-06,0.2899,AAPL
17007,2003-07-13,0.3008,AAPL
17008,2003-07-20,0.3161,AAPL
17009,2003-07-27,0.3264,AAPL
17010,2003-08-03,0.3142,AAPL
17011,2003-08-10,0.2976,AAPL
17012,2003-08-17,0.2987,AAPL
17013,2003-08-24,0.3164,AAPL
17014,2003-08-31,0.3427,AAPL
17015,2003-09-07,0.341,AAPL
17016,2003-09-14,0.3501,AAPL
17017,2003-09-21,0.3422,AAPL
17018,2003-09-28,0.3136,AAPL
17019,2003-10-05,0.3287,AAPL
17020,2003-10-12,0.3589,AAPL
17021,2003-10-19,0.3448,AAPL
17022,2003-10-26,0.3425,AAPL
17023,2003-11-02,0.3469,AAPL
17024,2003-11-09,0.341,AAPL
17025,2003-11-16,0.3252,AAPL
17026,2003-11-23,0.3073,AAPL
17027,2003-11-30,0.3169,AAPL
17028,2003-12-07,0.316,AAPL
17029,2003-12-14,0.3166,AAPL
17030,2003-12-21,0.2986,AAPL
17031,2003-12-28,0.3149,AAPL
17032,2004-01-04,0.3225,AAPL
17033,2004-01-11,0.3486,AAPL
17034,2004-01-18,0.3443,AAPL
17035,2004-01-25,0.3419,AAPL
17036,2004-02-01,0.3419,AAPL
17037,2004-02-08,0.3442,AAPL
17038,2004-02-15,0.3486,AAPL
17039,2004-02-22,0.3395,AAPL
17040,2004-02-29,0.3625,AAPL
17041,2004-03-07,0.4052,AAPL
17042,2004-03-14,0.4177,AAPL
17043,2004-03-21,0.3919,AAPL
17044,2004-03-28,0.4098,AAPL
17045,2004-04-04,0.4168,AAPL
17046,2004-04-11,0.4172,AAPL
17047,2004-04-18,0.4422,AAPL
17048,2004-04-25,0.4198,AAPL
17049,2004-05-02,0.3907,AAPL
17050,2004-05-09,0.4042,AAPL
17051,2004-05-16,0.4101,AAPL
17052,2004-05-23,0.4109,AAPL
17053,2004-05-30,0.4253,AAPL
17054,2004-06-06,0.4362,AAPL
17055,2004-06-13,0.4659,AAPL
17056,2004-06-20,0.4988,AAPL
17057,2004-06-27,0.5107,AAPL
17058,2004-07-04,0.471,AAPL
17059,2004-07-11,0.4551,AAPL
17060,2004-07-18,0.488,AAPL
